Miguel Segundo Ciccia Vásquez,"10,188",27-Jul-1995,26-Jul-2000,Independiente,INDEPENDIENTE,,en Ejercicio,Parlamentario 1995 - 2000
Genaro Colchado Arellano,"7,335",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Víctor Coral Pérez,"11,543",27-Jul-1995,26-Jul-2000,Acción Popular,ACCIÓN POPULAR-COORDINADORA DEMOCRÁTICA-INDEPEND.,,en Ejercicio,Parlamentario 1995 - 2000
Jorge Alfonso Alejandro Del Castillo Gálvez,"35,944",27-Jul-1995,26-Jul-2000,Partido Aprista Peruano,PARTIDO APRISTA PERUANO,,en Ejercicio,Parlamentario 1995 - 2000
Luis Humberto Delgado Aparicio,"28,192",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Edilberto Díaz Bringas,"8,841",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Ivonne Susana Díaz Díaz,"10,280",27-Jul-1995,26-Jul-2000,Movimiento Independiente Agrario,ACCIÓN POPULAR-COORDINADORA DEMOCRÁTICA-INDEPEND.,,en Ejercicio,Parlamentario 1995 - 2000
Javier Diez Canseco Cisneros,"17,967",27-Jul-1995,26-Jul-2000,Izquierda Unida,DEMOCRACIA EN ACCIÓN,,en Ejercicio,Parlamentario 1995 - 2000
Jorge Luis Donayre Lozano,"7,209",27-Jul-1995,26-Jul-2000,Independiente,DEMOCRACIA EN ACCIÓN,,en Ejercicio,Parlamentario 1995 - 2000
Daniel Humberto Espichán Tumay,"21,770",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
María Jesús Espinoza Matos,"12,866",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Aldo Vladimiro Estrada Choque,"14,870",27-Jul-1995,26-Jul-2000,Unión por el Perú,UNIÓN POR EL PERÚ,,en Ejercicio,Parlamentario 1995 - 2000
Daniel Federico Estrada Pérez,"141,120",27-Jul-1995,26-Jul-2000,Unión por el Perú,UNIÓN POR EL PERÚ,,en Ejercicio,Parlamentario 1995 - 2000
Rigoberto Ezquerra Cáceres,"8,677",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Graciela Fernández Baca Calderón De Valdez,"32,499",27-Jul-1995,26-Jul-2000,Independiente,GRUPO PARLAMENTARIO INDEPENDIENTE,,en Ejercicio,Parlamentario 1995 - 2000
Víctor Raúl Fernández Bustinza,"15,353",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Carlos E Ferrero Costa,"19,189",27-Jul-1995,27-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Jorge Figueroa Vizcarra,"11,788",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Gustavo Carlos Flores Flores,"8,333",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Lourdes Flores Nano,"67,170",27-Jul-1995,26-Jul-2000,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO-RENOVACIÓN,,en Ejercicio,Parlamentario 1995 - 2000
Antero Flores-Aráoz Esparza,"20,305",27-Jul-1995,26-Jul-2000,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO-RENOVACIÓN,,en Ejercicio,Parlamentario 1995 - 2000
Harold Forsyth Mejía,"8,983",27-Jul-1995,26-Jul-2000,Independiente,GRUPO PARLAMENTARIO INDEPENDIENTE,,en Ejercicio,Parlamentario 1995 - 2000
Ernesto Ramón Gamarra Olivares,"6,319",27-Jul-1995,26-Jul-2000,Frente Independiente Moralizador,INDEPENDIENTE,,en Ejercicio,Parlamentario 1995 - 2000
Diego García-Sayán Larrabure,"5,966",03-May-2000,26-Jul-2000,Unión por el Perú,UNIÓN POR EL PERÚ,,en Ejercicio,Parlamentario 1995 - 2000
Freddy Ghilardi Alvarez,"10,807",27-Jul-1995,26-Jul-2000,Partido Aprista Peruano,PARTIDO APRISTA PERUANO,,en Ejercicio,Parlamentario 1995 - 2000
Alfonso Grados Bertorini,"21,242",27-Jul-1995,26-Jul-2000,Unión por el Perú,UNIÓN POR EL PERÚ,,en Ejercicio,Parlamentario 1995 - 2000
Roger Guerra-García Cueva,"8,290",27-Jul-1995,26-Jul-2000,Unión por el Perú,UNIÓN POR EL PERÚ,,en Ejercicio,Parlamentario 1995 - 2000
Virgilio Gutiérrez Mercedes,"9,304",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Moisés Heresi Abdelnour,"6,047",27-Jul-1995,26-Jul-2000,Convergencia Democrática,ACCIÓN POPULAR-COORDINADORA DEMOCRÁTICA-INDEPEND.,,en Ejercicio,Parlamentario 1995 - 2000
Juan Bosco Hermoza Ríos,"13,850",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
Martha Hildebrandt Pérez Treviño,"44,226",27-Jul-1995,26-Jul-2000,Cambio 90-Nueva Mayoría,ALIANZA  CAMBIO 90 - NUEVA MAYORÍA,,en Ejercicio,Parlamentario 1995 - 2000
